pre,post,# sections,synapse id,series
ADAL,"ADAL,AVBR,RIML",6,5859,VC
ADAL,ADLL,1,4693,NR
ADAL,ADLL,1,4694,NR
ADAL,"AIAL,AIBL",2,5814,VC
ADAL,"AIBR,AVBR,RIML",1,9493,VC
ADAL,"AIBR,RIML",1,9492,VC
ADAL,"AVAL,AVBL,AVJR",1,10264,NR
ADAL,"AVAL,AVBL,AVJR",1,10271,NR
ADAL,"AVAR,AVBR",7,556,NR
ADAL,"AVBL,AVJR",1,10261,NR
ADAL,"AVBL,AVJR",1,10265,NR
ADAL,"AVBL,AVJR",1,10266,NR
ADAL,AVBR,1,3013,NR
ADAL,AVBR,2,4698,NR
ADAL,"AVBR,PVPL,RIML",1,5859,VC
ADAL,"AVBR,RIPL",3,4699,NR
ADAL,"AVDL,AVJR",1,10505,NR
ADAL,AVDR,1,10272,NR
ADAL,"AVDR,AVJR",1,10273,NR
ADAL,"AVEL,AVJR",1,10250,NR
ADAL,"AVEL,AVJR",2,10251,NR
ADAL,AVJR,1,10268,NR
ADAL,RICL,1,4755,NR
ADAL,RICL,1,4756,NR
ADAL,"RICL,RICR,URXL",1,1932,NR
ADAL,"RIPL,URAVL.",1,3219,NR
ADAL,SMDVR,1,5970,VC
ADAL,SMDVR,1,6001,VC
ADAL,SMDVR,1,9008,VC
ADAR,"AIBL,AVEL,RIMR",1,9051,VC
ADAR,"AIBR,RIFR,RIMR",1,5871,VC
ADAR,"AIBR,RIMR",2,5870,VC
ADAR,ASHR,1,5638,NR
ADAR,"ASHR,AVAR,AVBR",1,4731,NR
ADAR,"AVAR,AVBR",1,4742,NR
ADAR,"AVAR,AVJL",1,4649,NR
ADAR,"AVAR,AVJL",1,4916,NR
ADAR,"AVAR,AVJL",2,5609,NR
ADAR,"AVAR,URXR",2,1870,NR
ADAR,"AVBL,AVJL,PVR.,RIPR,RIVR",5,3974,NR
ADAR,"AVBL,RIMR",3,5942,VC
ADAR,"AVBR,AVDL",2,9506,NR
ADAR,"AVBR,AVJL",1,4275,NR
ADAR,"AVBR,AVJL",1,4743,NR
ADAR,"AVBR,RIMR",3,5879,VC
ADAR,"AVBR,RIMR",5,5872,VC
ADAR,"AVBR,RIPR",1,3963,NR
ADAR,"AVDR,AVJL",1,4794,NR
ADAR,"AVDR,RIPR,URYDR",2,3964,NR
ADAR,AVJL,1,4795,NR
ADAR,"PVR.,RIPR",1,3973,NR
ADAR,SMDVL,1,5983,VC
ADEL,"ADAL,AVAR",1,6031,VC
ADEL,ADEL,1,9514,NR
ADEL,"ADEL,OLLL",1,4119,NR
ADEL,"ADER,RIGL",2,5973,VC
ADEL,"ADER,RIGL,VB01",2,6002,VC
ADEL,"ADER,RIGR",1,9509,VC
ADEL,"ALML,CEPDL",1,4444,NR
ADEL,"AVAL,RIGR",7,5971,VC
ADEL,AVAR,1,9494,VC
ADEL,"AVAR,RIGL",7,5957,VC
ADEL,"AVDL,FLPL,hyp",2,530,NR
ADEL,AVEL,1,2171,NR
ADEL,"AVEL,IL1L,SMBVL",2,4805,NR
ADEL,"AVHL,SIADR,SIBDR",1,9759,NR
ADEL,AVL.,1,1619,NR
ADEL,"BDUL,RIFL",1,9507,NR
ADEL,"CEPVL,vBWML1",1,4125,NR
ADEL,"FLPL,RIGR",2,5982,VC
ADEL,"IL1L,OLLL",1,5255,NR
ADEL,"IL2L,RMDL",4,5091,NR
ADEL,"IL2L,RMER",1,5405,NR
ADEL,OLLL,1,3738,NR
ADEL,"OLLL,RMDL",1,3669,NR
ADEL,"OLLL,RMDL",3,5142,NR
ADEL,"RIAL,RIVL",2,1534,NR
ADEL,RIGL,2,8963,VC
ADEL,RIGL,3,8962,VC
ADEL,"RIGL,RIGR",2,9526,VC
ADEL,RIGR,1,5981,VC
ADEL,RIGR,2,5972,VC
ADEL,"RIH,RIVR",2,5842,VC
ADEL,"RIH,RMHL",1,5929,VC
ADEL,RMDL,2,4131,NR
ADEL,"RMER,dBWML3",1,5395,NR
ADEL,"RMER,vBWML1",2,4127,NR
ADEL,RMGL,2,6192,VC
ADEL,RMGL,2,6285,VC
ADEL,RMGL,3,6286,VC
ADEL,"RMHR,RMHR",1,4442,NR
ADEL,"RMHR,dBWML5",1,4518,NR
ADEL,"SAADR,SMBDR",1,1536,NR
ADEL,SIBDR,1,9758,NR
ADEL,URBL,2,2913,NR
ADEL,vBWML1,1,4126,NR
ADER,"ADAR,AVAL",1,5984,VC
ADER,"ADEL,RIGR",3,5956,VC
ADER,"ALNR,URBR",1,1954,NR
ADER,ASIR,1,1624,NR
ADER,AVAL,1,9344,VC
ADER,"AVAL,FLPL",1,6177,VC
ADER,"AVAL,RIGR",2,5985,VC
ADER,"AVAL,RIGR",4,8956,VC
ADER,"AVAR,RIGL",1,9345,VC
ADER,"AVAR,RIGL",3,6028,VC
ADER,"AVDR,AVJR",1,1529,NR
ADER,"AVDR,FLPR",4,901,NR
ADER,AVER,2,2663,NR
ADER,"AVER,unk",2,2663,NR
ADER,CEPDR,1,1627,NR
ADER,CEPDR,3,5473,NR
ADER,"CEPDR,RMDL",1,1634,NR
ADER,CEPVR,1,1628,NR
ADER,CEPshDR,1,1625,NR
ADER,"IL1R,IL2R",1,5648,NR
ADER,"OLLR,RMDR",1,1210,NR
ADER,"OLLR,RMDR",1,1212,NR
ADER,"OLLR,RMDR",1,1215,NR
ADER,"RIAR,SMDVR",1,1621,NR
ADER,RIGL,1,6003,VC
ADER,RIGL,1,6027,VC
ADER,RIGL,1,8967,VC
ADER,RIGL,1,9002,VC
ADER,RIGL,1,9302,VC
ADER,RIGL,1,9346,VC
ADER,"RIGL,RIGR",2,5959,VC
ADER,RMDR,1,5297,NR
ADER,RMDR,1,5298,NR
ADER,"RMDR,URXR",1,1864,NR
ADER,RMGR,2,6487,VC
ADER,RMGR,3,6410,VC
