pre,post,# sections,synapse id,series
ADAR,ADAL,3,4881,NR
ADFL,ADAL,1,6070,VC
ADFL,ADAL,4,6051,VC
ADFR,ADAR,4,6057,VC
ADLR,ADLL,6,9658,NR
AFDL,ADFL,1,2391,NR
AFDL,ADFL,2,1791,NR
AFDR,ADFR,1,5705,NR
AFDR,ADFR,4,1797,NR
AFDR,AFDL,1,2401,NR
AIAR,ADFR,1,6110,VC
AIAR,ADFR,1,6118,VC
AIAR,"ADFR,AIAR",2,9307,VC
AIAR,AIAL,7,2404,NR
AIBL,AFDL,2,6099,VC
AIBL,AIAL,2,2405,NR
AIBL,AIAL,3,2423,NR
AIBR,AFDR,2,9945,VC
AINL,ADEL,2,5013,NR
AINR,ADER,4,3318,NR
AINR,AINL,1,3320,NR
AIYL,AFDL,2,2387,NR
AIYR,AIYL,4,3323,NR
AIZL,ADFL,1,1790,NR
AIZL,AIBR,1,2517,NR
AIZL,AIBR,2,2477,NR
AIZR,AIBL,1,2414,NR
AIZR,AIBL,3,2421,NR
AIZR,AIZL,9,3405,NR
AIZR,AIZL,9,6079,VC
ALNR,ADER,2,1787,NR
ASEL,AFDL,1,2390,NR
ASEL,AFDL,1,3703,NR
ASEL,AFDL,2,3715,NR
ASEL,AFDL,2,5706,NR
ASEL,AFDR,2,5630,NR
ASER,AFDR,1,2396,NR
ASGL,AIML,1,6053,VC
ASGL,AINR,1,9425,VC
ASGL,AIZL,3,9282,VC
ASGL,ASEL,3,1782,NR
ASGR,ADFR,1,3808,NR
ASGR,ADLR,1,1803,NR
ASGR,AIAR,1,2409,NR
ASGR,AIAR,2,3871,NR
ASGR,AINL,1,6083,VC
ASGR,AIZR,1,9284,VC
ASGR,ASER,3,3790,NR
ASHL,ADAL,2,9902,VC
ASHL,ADFL,1,5026,NR
ASHL,AIZL,2,9283,VC
ASHR,ADAR,3,6072,VC
ASHR,AFDR,2,2397,NR
ASHR,AFDR,2,2399,NR
ASHR,AIAR,1,3896,NR
ASHR,AIZR,3,6124,VC
ASHR,AIZR,3,9285,VC
ASHR,ASHL,3,3870,NR
ASHR,ASHL,4,3874,NR
ASIL,AIAL,1,9427,VC
ASIL,AINR,1,4057,NR
ASIR,AIAL,2,2407,NR
ASIR,AIAR,3,2410,NR
ASIR,AIYR,1,6086,VC
ASIR,ASGR,1,3806,NR
ASIR,ASGR,1,3810,NR
ASIR,ASGR,2,3809,NR
ASIR,ASIL,3,9809,NR
ASJL,AIAL,1,2406,NR
ASJL,ALA,2,3544,NR
ASJR,AIMR,1,3304,NR
ASJR,ASJL,7,4230,NR
ASKL,AIAL,1,5678,NR
ASKL,AIAL,1,5698,NR
ASKL,AIBL,1,5677,NR
ASKL,ASHL,1,9426,VC
ASKL,ASHL,2,3709,NR
ASKL,ASHL,2,3711,NR
ASKL,ASHL,2,3714,NR
ASKL,ASHL,3,3708,NR
ASKL,ASHL,3,3710,NR
ASKL,ASHL,5,3712,NR
ASKR,ADLR,1,9669,NR
ASKR,AIAR,1,3897,NR
ASKR,AIBR,1,9657,NR
ASKR,AIBR,2,9656,NR
ASKR,ALA,1,9668,NR
ASKR,"ASHR,ASKR",2,3895,NR
ASKR,ASKL,1,9659,NR
ASKR,ASKL,8,9664,NR
AUAL,AINR,3,6054,VC
AUAR,AINL,1,5629,NR
AUAR,AIYR,1,3330,NR
AUAR,AUAL,2,9262,NR
AVAR,AS03,1,7859,VC
AVAR,AS05,3,7534,VC
AVAR,AS06,1,9030,VC
AVAR,AS06,1,9033,VC
AVAR,ASHR,1,3329,NR
AVAR,ASHR,1,4772,NR
AVAR,AVAL,1,6973,VC
AVAR,AVAL,1,7161,VC
AVAR,AVAL,1,7670,VC
AVAR,AVAL,2,7162,VC
AVAR,AVAL,2,9263,NR
AVAR,AVAL,8,6937,VC
AVBL,AQR,3,6117,VC
AVBL,AS06,1,9032,VC
AVBL,AVAR,2,7160,VC
AVBR,AS05,2,10118,VC
AVBR,AS06,1,9031,VC
AVBR,AVBL,1,6961,VC
AVBR,AVBL,1,7679,VC
AVBR,AVBL,1,7925,VC
AVBR,AVBL,1,9028,VC
AVBR,AVBL,2,6089,VC
AVBR,AVBL,5,6488,VC
AVBR,AVBL,6,6100,VC
AVDL,ADAR,1,6145,VC
AVDL,ADAR,2,9259,NR
AVDL,AVAL,4,6144,VC
AVDR,ADAL,1,6137,VC
AVDR,ADAL,1,9253,NR
AVDR,ADLL,2,9254,NR
AVDR,ALMR,1,3124,NR
AVDR,ALMR,1,4874,NR
AVDR,AVAR,2,6557,VC
AVDR,AVDL,2,7928,VC
AVEL,AFDL,1,2388,NR
AVEL,AS01,2,6921,VC
AVEL,AVAL,1,6496,VC
AVEL,AVAL,1,8988,VC
AVER,ALA,3,3537,NR
AVER,AS01,1,9242,VC
AVER,ASHR,1,3900,NR
AVER,AVAR,2,4768,NR
AVER,AVEL,5,4877,NR
AVFR,AVFL,1,6131,VC
AVFR,AVFL,1,6208,VC
AVFR,AVFL,1,6692,VC
AVFR,AVFL,1,7676,VC
AVFR,AVFL,1,7852,VC
AVFR,AVFL,1,9029,VC
AVFR,AVFL,1,9237,VC
AVFR,AVFL,2,6596,VC
AVFR,AVFL,2,6597,VC
AVFR,AVFL,2,6693,VC
AVFR,AVFL,2,6912,VC
AVFR,AVFL,2,6941,VC
AVFR,AVFL,2,6956,VC
AVFR,AVFL,3,6622,VC
AVFR,AVFL,3,6917,VC
AVFR,AVFL,4,6913,VC
AVHL,ASHR,2,5030,NR
AVHL,ASKL,1,1775,NR
AVHL,ASKL,7,4467,NR
AVHL,AVDL,1,6214,VC
AVHL,AVDL,1,6215,VC
AVHL,AVFL,1,6958,VC
AVHL,AVFL,1,9241,VC
AVHL,AVFR,1,6922,VC
AVHL,AVFR,1,6957,VC
AVHL,AVFR,1,7527,VC
AVHL,AVFR,1,7539,VC
AVHL,AVFR,2,6598,VC
AVHR,ASKR,1,3325,NR
AVHR,ASKR,9,3317,NR
AVHR,AVFL,1,7537,VC
AVHR,AVFR,1,6694,VC
AVHR,AVFR,1,6919,VC
AVHR,AVFR,1,6940,VC
AVHR,AVFR,1,6942,VC
AVHR,AVFR,1,6943,VC
AVHR,AVFR,2,6920,VC
AVHR,AVHL,1,7858,VC
AVHR,AVHL,1,9230,VC2
AVJL,AVDR,1,9231,VC2
AVJL,AVHR,3,6945,VC
AVJR,ADER,1,1785,NR
AVJR,AVDL,1,8166,VC
AVJR,AVJL,1,6946,VC
AVJR,AVJL,1,7528,VC
AVJR,AVJL,1,9233,VC2
AVJR,AVJL,2,7524,VC
AVKL,ADER,4,6140,VC
AVKL,AIYL,1,6201,VC
AVKL,AQR,3,6090,VC
AVKL,AQR,4,6141,VC
AVKR,AIMR,3,6203,VC
AVKR,AQR,2,6091,VC
AVKR,AVER,1,5021,NR
AVKR,AVKL,3,5014,NR
AVKR,AVKL,3,5022,NR
AVKR,AVKL,3,6127,VC
AVL.,AVEL,1,6472,VC
AVL.,AVKL,1,3403,NR
AVL.,AVKL,2,3402,NR
AVM,ALML,2,918,NR
AVM,ALML,5,912,NR
AVM,ALMR,16,913,NR
AVM,AVDL,2,5025,NR
AVM,AVDL,6,6395,VC
AWAL,ADLL,1,3707,NR
AWAL,AIAL,1,9906,VC
AWAL,AIZL,3,6085,VC
AWAR,"ADFR,AIAR",3,6103,VC
AWAR,AIZR,3,9286,VC
AWAR,AWAL,2,5027,NR
AWBL,AIAL,1,6111,VC
AWBL,ASGL,1,3802,NR
AWBL,AUAL,4,6128,VC
AWBR,ADFR,1,1798,NR
AWBR,ASER,1,3727,NR
AWBR,AUAR,3,6121,VC
AWBR,AWBL,3,5029,NR
AWCL,ADFL,1,1793,NR
AWCL,ASEL,1,6084,VC
AWCL,AUAL,1,3702,NR
AWCR,AFDR,3,2398,NR
AWCR,AIAL,1,2403,NR
AWCR,AIAR,1,2411,NR
AWCR,ASEL,1,3954,NR
AWCR,ASEL,1,3955,NR
AWCR,ASGR,2,3872,NR
BAGL,AINR,3,3321,NR
BAGR,AVEL,1,9617,NR
BAGR,BAGL,1,5370,NR
BDUL,ALML,1,5031,NR
BDUR,ALMR,1,5032,NR
CEPVR,AIMR,1,5554,NR
CEPshVL,ASIL,1,4058,NR
CEPshVL,CEPVL,1,7002,NR
DA01,AVAL,2,6551,VC
DA01,AVAR,1,6301,VC
DA01,AVAR,4,6300,VC
DA01,AVAR,4,6302,VC
DA01,AVER,1,6624,VC
DA02,AS02,2,8186,DC
DA02,AS03,1,9942,DC
DA02,AVAL,1,6938,VC
DA02,AVAL,1,6967,VC
DA02,AVAL,1,7922,VC
DA02,AVAL,2,6628,VC
DA02,AVAL,2,6970,VC
DA02,AVAR,3,6974,VC
DA02,DA01,1,8405,DC
DA03,AS04,1,8496,DC
DA03,AS04,1,10208,DC
DA03,AS04,1,10212,DC
DA03,AVAL,1,8167,VC
DA03,AVAL,2,7860,VC
DA03,AVAL,3,7856,VC
DA03,AVAR,1,6929,VC
DA03,AVAR,1,8170,VC
DA03,AVAR,2,9557,VC
DA03,AVAR,3,6928,VC
DA04,AVAL,1,7535,VC
DA04,AVAL,1,7536,VC
DA04,AVAR,1,7546,VC
DA04,AVAR,1,8169,VC
DA04,DA03,1,10214,DC
DA05,AS06,1,8842,DC
DA05,AS06,1,8843,DC
DA05,AS06,1,8845,DC
DA05,AS06,2,8846,DC
DA05,AVAL,2,7167,VC
DA05,AVAR,1,9228,VC2
DA05,AVAR,4,9234,VC2
DA05,DA02,1,8417,DC
DA05,DA03,1,8829,DC
DA06,AVAL,1,9227,VC2
DB01,AVBR,1,6638,VC
DB01,AVBR,3,6637,VC
DB01,AVBR,11,6122,VC
DB01,DA06,1,8825,DC
DB02,AVBR,6,9917,VC
DB02,DB01,1,8410,DC
DB02,DB01,1,8497,DC
DB02,DB01,1,8840,DC
DB02,DB01,2,9559,DC
DB03,AVBL,9,7924,VC
DB03,AVBR,2,7923,VC
DB03,DB02,1,8830,DC
DB03,DB02,1,8833,DC
DB03,DB02,1,9225,DC
DB03,DB02,1,10216,DC
DB03,DB02,1,10231,DC
DB03,DB02,1,10232,DC
DB03,DB02,3,9558,DC
DB03,DB02,5,10211,DC
DB04,AVBL,4,7844,VC
DB04,AVBR,1,7845,VC
DB04,AVBR,4,7843,VC
DB04,DB03,1,8841,DC
DB05,AVBL,3,7269,VC
DB05,AVBR,1,7166,VC
DD02,DD01,6,6954,VC
DD03,DB03,1,8836,DC
DD03,DB04,1,8844,DC
DD03,DD02,1,7853,VC
DD03,DD02,1,8834,DC
DD04,DD03,1,7530,VC
DD04,DD03,2,7529,VC
DROP-blue-103,AVKL,1,7846,VC
DROP-d-blue-44,DB01,1,8837,DC
DROP-d-blue-48,DB02,1,8847,DC
DROP-d-blue-49,DA05,1,8849,DC
DROP[ceph],AFDR,1,2395,NR
DVA,AVBL,11,6062,VC
DVA,AVBR,3,6075,VC
DVA,AVKL,1,7163,VC
DVA,AVKL,1,7164,VC
DVA,AVKL,1,7165,VC
DVA,AVKL,1,9226,VC2
DVA,AVKL,3,10238,VC2
DVA,DB01,3,8987,VC
DVC,AIBL,2,6064,VC
DVC,AIBR,2,9520,NR
DVC,AIBR,2,9680,VC
DVC,AIBR,5,6050,VC
FLPL,AIBL,1,9424,VC
FLPL,AVDL,1,2850,NR
FLPL,AVDL,4,9267,NR
FLPL,DD01,1,8181,DC
FLPR,ADER,4,3807,NR
FLPR,AS01,1,8178,DC
FLPR,AVDL,3,9238,VC
FLPR,AVDL,6,6468,VC
FLPR,AVDR,2,3319,NR
FLPR,DA01,5,8177,DC
FLPR,DA02,6,8179,DC
FLPR,DA03,2,5343,NR
FLPR,DA03,14,8180,DC
FLPR,FLPL,1,9674,VC
FLPR,FLPL,2,6216,VC
FLPR,FLPL,3,6489,VC
GLRDR,CEPDR,2,1780,NR
HSNL,ASKL,1,5665,NR
HSNR,ALA,1,9662,NR
HSNR,ASKR,1,9665,NR
HSNR,ASKR,2,9655,NR
HSNR,BDUR,1,6078,VC
HSNR,HSNL,1,5059,NR
IL1DR,IL1DL,1,5598,NR
IL1DR,IL1DL,2,5559,NR
IL1L,IL1DL,2,5557,NR
IL1R,IL1DR,2,5565,NR
IL1R,IL1DR,6,5558,NR
IL1VL,IL1L,1,9430,NR
IL1VL,IL1L,3,5570,NR
IL1VL,IL1L,4,5569,NR
IL1VR,IL1R,1,5576,NR
IL1VR,IL1R,2,5564,NR
IL1VR,IL1R,2,5573,NR
IL1VR,IL1R,3,5566,NR
IL1VR,IL1VL,11,5568,NR
IL2L,ADEL,1,4139,NR
IL2L,ADEL,1,9694,NR
IL2L,ASJL,1,4231,NR
IL2VR,CEPVR,1,1783,NR
IL2VR,IL1VR,1,1784,NR
OLLL,IL2L,2,5340,NR
OLLR,OLLL,1,5352,NR
OLLR,OLLL,1,5549,NR
OLLR,OLLL,2,5351,NR
OLLR,OLLL,3,5351,NR
OLLR,OLLL,4,5350,NR
OLQDL,CEPDL,2,5535,NR
OLQDR,CEPDR,2,9248,NR
OLQDR,CEPDR,6,5542,NR
OLQVL,ADAL,4,4776,NR
OLQVL,CEPVL,1,5361,NR
OLQVL,CEPVL,3,5544,NR
OLQVR,CEPVR,1,961,NR
PVCL,AVAL,1,5344,NR
PVCL,AVJL,3,8995,VC
PVCL,AVJR,1,5012,NR
PVCL,AVJR,2,5011,NR
PVCL,DA04,1,7545,VC
PVCL,DVA,1,10476,VC
PVCR,AVAL,1,7674,VC
PVCR,AVAL,2,6493,VC
PVCR,AVAR,1,6971,VC
PVCR,AVJL,1,5009,NR
PVCR,AVJL,1,5010,NR
PVCR,AVJL,1,9058,VC
PVCR,AVJL,2,5008,NR
PVCR,AVJL,2,6552,VC
PVCR,AVJL,2,9290,VC
PVCR,AVJL,4,6408,VC
PVCR,AVJL,5,6227,VC
PVCR,AVJR,1,10287,NR
PVCR,PVCL,1,6948,VC
PVCR,PVCL,1,6950,VC
PVCR,PVCL,1,6959,VC
PVCR,PVCL,1,8168,VC
PVCR,PVCL,2,6926,VC
PVCR,PVCL,2,6947,VC
PVCR,PVCL,3,6630,VC
PVCR,PVCL,3,6949,VC
PVCR,PVCL,3,6960,VC
PVCR,PVCL,5,9428,VC
PVDL,DA03,1,8832,DC
PVDL,DA05,1,10213,DC
PVDL,DB01,1,10233,DC
PVDL,DROP-d-blue-44,1,8848,DC
PVDL,DROP-d-blue-44,1,10236,DC
PVDR,AS03,1,8828,DC
PVM,ADER,1,9912,VC
PVNL,BDUL,1,5702,NR
PVNR,AVFL,1,6066,VC
PVNR,HSNR,2,9057,VC
PVNR,PVNL,1,6109,VC
PVPL,AIBR,2,5533,NR
PVPL,AQR,1,1231,NR
PVPL,AQR,1,3310,NR
PVPL,AQR,1,3559,NR
PVPL,AQR,1,10283,NR
PVPL,AQR,2,10289,NR
PVPL,AQR,2,10290,VC
PVPL,AQR,3,3453,NR
PVPL,AQR,5,10284,NR
PVPL,AQR,6,10291,VC
PVPL,AQR,8,10286,VC
PVPL,AQR,10,1232,NR
PVPL,AQR,11,10285,NR
PVPL,AVAL,1,4240,NR
PVPL,AVFL,1,6207,VC
PVPL,AVFR,2,6225,VC
PVPL,AVKL,1,6113,VC
PVPL,AVKL,2,6102,VC
PVPL,AVKR,1,6135,VC
PVPL,AVKR,1,6932,VC
