pre,post,# sections,synapse id,series
AS11,"DB08,dBWML22",1,2096,Dorsal
AS11,"DD06,VD13,dBWMR22",2,2094,Dorsal
AS11,"DD06,dBWML22",1,2119,Dorsal
AVAL,"AS10,DA07,VA10",1,537,PAG
AVAL,"AS10,VA10",1,2276,PAG
AVAL,"AS10,VA10",3,551,PAG
AVAL,"AS11,AVAR,LUAR,PVCL",1,190,PAG
AVAL,"AS11,AVAR,VA11",1,2367,PAG
AVAL,"AS11,AVDR,VA11",1,149,PAG
AVAL,"AS11,DA08,PVCL",1,216,PAG
AVAL,"AS11,PVCL,VA11",1,198,PAG
AVAL,"AS11,VA10,VA11",3,2245,PAG
AVAL,"AVAR,DA07,b18",1,598,PAG
AVAL,"AVAR,DA09,VA11",1,2230,PAG
AVAL,"AVAR,LUAR,PVCL",1,191,PAG
AVAL,"DA07,VA10",1,535,PAG
AVAL,"DA07,b18",1,597,PAG
AVAL,"DA08,DA09,PVCR,VA10",2,2243,PAG
AVAL,"DA08,PVCL,PVCR,VA12",1,230,PAG
AVAL,"DA09,DB07,VA12",2,259,PAG
AVAL,"DA09,VA10",1,2242,PAG
AVAL,"LUAL,PVCL",5,333,PAG
AVAL,"LUAL,PVCL,PVNL",2,2388,Red
AVAL,"VA11,VA12",2,330,PAG
AVAR,"AS11,DA08,VA10",1,2634,PAG
AVAR,"AS11,DA08,VA11",1,207,PAG
AVAR,"AS11,DA08,VA11",3,206,PAG
AVAR,"AS11,VA10",1,2246,PAG
AVAR,"AS11,VA11",1,184,PAG
AVAR,"AS11,VA11",1,205,PAG
AVAR,"AS11,VA11",1,2227,PAG
AVAR,"AS11,VA11",1,2228,PAG
AVAR,"AVAL,DA07,b18",1,612,PAG
AVAR,"AVDL,DA08,PVCR",2,154,PAG
AVAR,"DA07,DA08",1,577,PAG
AVAR,"DA07,DA08,PVCL",1,578,PAG
AVAR,"DA07,DA08,VA10",1,576,PAG
AVAR,"DA07,VA10",1,548,PAG
AVAR,"DA07,b18",1,613,PAG
AVAR,"DA08,DA09",1,2231,PAG
AVAR,"DA08,DA09,VA11",2,162,PAG
AVAR,"DA08,PVCL",1,175,PAG
AVAR,"DA08,PVCL",1,177,PAG
AVAR,"DA08,PVCL",2,2277,PAG
AVAR,"DA08,PVCR",1,155,PAG
AVAR,"DA08,VA10",1,2244,PAG
AVAR,"DA08,VA11",2,281,PAG
AVAR,DA09,1,2232,PAG
AVAR,"LUAL,PVCL",4,256,PAG
AVAR,"LUAR,PVCR",2,374,PAG
AVAR,"LUAR,PVCR",5,388,PAG
AVAR,"LUAR,PVCR",9,338,PAG
AVBL,AS10,1,2284,PAG
AVBL,"AS10,AVAL,AVBR",1,2648,PAG
AVBL,AVAR,2,2285,PAG
AVBL,"AVJR,VA11",1,2248,PAG
AVBL,DA07,2,2647,PAG
AVBL,VA10,1,608,PAG
AVBL,hyp,1,2247,PAG
AVBR,AS10,1,538,PAG
AVBR,"AVAL,AVAR",1,2281,PAG
AVBR,"AVAL,AVDL",1,562,PAG
AVBR,DA07,1,2645,PAG
AVDL,"AS10,DA08,VA10",1,556,PAG
AVDL,"AS11,AVAL,AVAR",1,186,PAG
AVDL,"AS11,AVAL,AVDR",3,2222,PAG
AVDL,"AS11,AVAR",1,188,PAG
AVDL,"AVAL,AVAR,PVCL",1,2280,PAG
AVDL,"AVAL,VA12",1,331,PAG
AVDL,"AVAR,DA08,VA10",1,583,PAG
AVDL,"AVAR,LUAL",2,265,PAG
AVDR,"AS10,AVAR",1,550,PAG
AVDR,"AS10,AVAR,PQR",1,549,PAG
AVDR,"AS11,AVAL,AVAR",1,143,PAG
AVDR,"AS11,AVAR,DA09",1,2229,PAG
AVDR,"AS11,AVAR,PVCR",1,2233,PAG
AVDR,"AVAL,AVDL",1,345,PAG
AVDR,"AVAL,DA08",1,609,PAG
AVDR,"AVAL,LUAL",2,325,PAG
AVDR,"AVAL,VA11",1,301,PAG
AVDR,"AVAR,LUAL",1,277,PAG
AVDR,"AVAR,PQR,hyp",2,229,PAG
AVFL,"AS10,AVBL",1,541,PAG
AVFL,"AVG,AVHR",1,2176,PAG
AVFL,AVHL,1,267,PAG
AVFL,"DVB,int8L",1,582,PAG
AVFL,hyp,1,610,PAG
AVFR,VD11,1,2249,PAG
AVFR,hyp,1,587,PAG
AVG,"DA08,PHAL",1,2385,Red
AVG,"PHAL,PVQR",2,304,PAG
AVG,hyp,1,2175,PAG
AVG,hyp,1,2251,PAG
AVHL,PVPL,1,2173,PAG
AVHR,"AVFL,AVFR",1,2178,PAG
AVHR,AVG,1,2177,PAG
AVJR,"AVAL,AVAR",2,215,PAG
AVJR,"AVAR,AVDL",1,2283,PAG
AVKR,hyp,1,146,PAG
AVKR,hyp,1,204,PAG
AVKR,vBWMR22,1,2626,PAG
AVKR,vBWMR22,2,2627,PAG
AVL,"DD06,VD12",1,156,PAG
AVL,DVB,1,2250,PAG
AVL,"PVWL,VD12",1,2213,PAG
AVL,"VC06,VD12",1,137,PAG
AVL,int8L,1,346,PAG
AVL,muintL,1,2618,PAG
AVL,muintR,1,2619,PAG
AVL,muintR,1,2628,PAG
DA09,"AS11,hyp",1,270,PAG
DA09,"DA08,DB07,VA12",1,202,PAG
DA09,"DB08,dBWML22",2,2113,Dorsal
DA09,"DD06,dBWML22",2,2090,Dorsal
DA09,"DD06,dBWML22",2,2092,Dorsal
DA09,"DVA,hyp",1,321,PAG
DA09,"VA11,hyp",1,2191,PAG
DB08,"DD06,VD13,dBWMR22",1,2095,Dorsal
DVA,"DB07,PVCL",1,87,PAG
DVA,"DB07,PVCL",1,2241,PAG
DVA,"PDEL,VB11",1,2263,PAG
DVA,"PVR.,hyp",1,580,PAG
DVA,"VA12,VB11",1,542,PAG
DVA,vBWML22,2,2605,PAG
DVB,"AVL,DD06",4,339,PAG
DVB,"AVL,DD06",5,336,PAG
DVB,"AVL,PVPL",5,384,PAG
DVB,"AVL,int8L",2,376,PAG
DVB,"AVL,int8L",3,356,PAG
DVB,"DA08,DD06",1,169,PAG
DVB,"DA08,hyp",2,404,PAG
DVB,"DA08,hyp",5,424,PAG
DVB,"DA08,muintL",2,378,PAG
DVB,"DVC,PVPL",1,341,PAG
DVB,"DVC,PVPL,VD13",1,340,PAG
DVB,"DVC,rectB",2,2607,Red
DVB,"PDA,PHCL",2,2403,Red
DVB,"PVPL,int8L",1,372,PAG
DVB,"PVPL,int8L",2,365,PAG
DVB,int8L,1,358,PAG
DVB,muintL,1,2405,Red
DVB,muintR,1,2606,Red
DVB,rectB,1,2407,Red
LUAL,"AVAL,AVAR",1,377,PAG
LUAL,"AVAL,AVAR",4,379,PAG
LUAL,"AVAL,AVAR,AVDL,AVDR",1,315,PAG
LUAL,"AVAL,AVDL",4,344,PAG
LUAL,"AVAL,AVDL",6,369,PAG
LUAL,"AVAL,AVDR",5,314,PAG
LUAL,"AVAL,AVJL",3,287,PAG
LUAL,"AVAL,AVJL,AVJR",1,291,PAG
LUAL,"AVAL,PHBL",2,2387,Red
LUAL,AVAR,1,260,PAG
LUAL,"AVAR,AVDL",5,337,PAG
LUAL,"AVAR,AVDL",11,266,PAG
LUAL,"PVNL,PVWL",1,2390,Red
LUAR,"AVAL,AVAR",1,178,PAG
LUAR,"AVAL,AVAR,AVDL",1,180,PAG
LUAR,"AVAL,AVAR,AVDL",1,181,PAG
LUAR,"AVAL,PQR",7,240,PAG
LUAR,"AVAL,PVWL",3,242,PAG
LUAR,"AVAR,AVDL",1,182,PAG
LUAR,"AVAR,AVDL,AVDR",2,316,PAG
LUAR,"AVAR,AVDR",5,318,PAG
LUAR,"AVAR,AVDR",7,354,PAG
LUAR,"AVAR,AVJR",4,386,PAG
LUAR,"AVAR,PVCR",4,385,PAG
LUAR,"AVAR,PVCR",5,381,PAG
LUAR,"PDB,PVR.",2,403,PAG
LUAR,"PVNL,PVWR",1,298,PAG
LUAR,"PVWR,hyp",1,2399,Red
LUAR,obj,1,2400,Red
PDA,"DA09,PVNR,hyp",1,2643,Red
PDA,"DD06,DD06",1,2110,Dorsal
PDA,"DD06,dBWML22",1,2109,Dorsal
PDB,"DD06,dBWML22",1,2093,Dorsal
PDB,"DD06,dBWML22",1,2111,Dorsal
PDEL,DVA,1,2257,PAG
PDEL,"DVA,PDER",4,2255,PAG
PDEL,"DVA,PVR.",1,607,PAG
PDEL,"DVA,PVR.,bl11",1,2226,PAG
PDER,DVA,1,561,PAG
PDER,DVA,1,2186,PAG
PDER,DVA,1,2256,PAG
PDER,"DVA,bl11",1,2370,PAG
PHAL,"AVDR,PHAR.,PHBL,PHBR",1,326,PAG
PHAL,"AVDR,PHBR",1,327,PAG
PHAL,"AVFL,AVHL,DA08",1,363,PAG
PHAL,"AVFL,PHBL",1,355,PAG
PHAL,"AVFL,PHBL",2,350,PAG
PHAL,AVG,1,285,PAG
PHAL,"AVG,DVA",1,417,PAG
PHAL,"AVG,PHAR.",1,283,PAG
PHAL,"AVG,PHAR.",3,280,PAG
PHAL,"AVG,PHAR.,PHBR",1,282,PAG
PHAL,"AVG,PHBR",3,255,PAG
PHAL,"AVHL,AVHR,PHBR",1,293,PAG
PHAL,"AVHL,DA08",2,364,PAG
PHAL,"PHAR.,PHBL",2,309,PAG
PHAL,"PHAR.,PHBR",2,319,PAG
PHAL,"PHAR.,PVQL",1,390,PAG
PHAL,"PHAR.,PVQL",2,382,PAG
PHAL,"PHBL,PHBR",1,322,PAG
PHAR.,"AVDR,PHAL",1,323,PAG
PHAR.,"AVDR,PHAL",1,324,PAG
PHAR.,"AVG,DA08,DVA",2,407,PAG
PHAR.,"AVG,DVA",1,409,PAG
PHAR.,"AVG,PHAL,PHBR",1,269,PAG
PHAR.,"AVG,PHBR",1,268,PAG
PHAR.,"AVG,PVPL",2,290,PAG
PHAR.,"AVG,PVPL,PVT",1,294,PAG
PHAR.,"AVG,PVT",1,295,PAG
PHAR.,"AVHR,PHBR",1,2642,Red
PHAR.,DVA,1,406,PAG
PHAR.,DVA,1,410,PAG
PHAR.,"PHAL,PHBR",2,361,PAG
PHAR.,"PHAL,PHBR",2,370,PAG
PHAR.,"PHAL,PVQL",1,264,PAG
PHAR.,"PHAL,PVQL",1,334,PAG
PHAR.,"PHAL,PVQL",1,353,PAG
PHAR.,"PHAL,PVQL,PVQR",1,335,PAG
PHAR.,PHBL,2,317,PAG
PHAR.,"PHBL,PHBR",1,300,PAG
PHAR.,PHBR,1,2391,Red
PHBL,"AS11,AVAL,AVAR",1,200,PAG
PHBL,"AVAL,AVAR,PVCL",1,201,PAG
PHBL,"AVAL,AVDR,VA12",1,332,PAG
PHBL,"AVAL,PVCL",1,413,PAG
PHBL,"AVAL,PVCL",1,2386,Red
PHBL,"AVAL,PVCL",2,415,PAG
PHBL,"AVAL,PVCL",3,2389,Red
PHBL,"AVAL,PVCL",4,383,PAG
PHBL,"AVAL,PVCL",4,396,PAG
