,ALNL,ALNR,AS10,AS11,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVFL,AVFR,AVG,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,DA07,DA08,DA09,DB07,DB08,DD06,DVA,DVB,DVC,LUAL,LUAR,PDA,PDB,PDEL,PDER,PHAL,PHAR.,PHBL,PHBR,PHCL,PHCR,PLML,PLMR,PLNL,PLNR,PQR,PVCL,PVCR,PVNL,PVNR,PVPL,PVPR,PVQL,PVQR,PVR.,PVT,PVWL,PVWR,PhshL,PhshR,Phso1L,Phso1R,Phso2L,Phso2R,RID,VA10,VA11,VA12,VB10,VB11,VC06,VD11,VD12,VD13,dBWML22,dBWMR22,hyp,int8L,intL,muintL,muintR,rectB,vBWML19,vBWML20,vBWML21,vBWML22,vBWMR20,vBWMR21,vBWMR22
ALNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
ALNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS10,,,,,1,1,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,
AS11,,,,,,,,,,,2,,1,2,8,,,1,,,,1,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,1,,,,,,,20,,,,,,2,,,,,,
AVAL,,,1,,,2,,,2,5,,,,,,3,1,,,,2,3,,,,,,,,2,2,,,,,,,,,1,3,,,,,,2,2,1,,,,,,,,,,,,,,,,,2,2,,,2,,,,,,,1,,,,,,,,,,,,
AVAR,,,1,,2,,,,1,7,,,,,,,2,,,,,2,1,,,,,,,,3,,,,,,,1,,,1,,,,,,7,10,,,,,,,,2,,1,,,,,,,,,10,2,,,,1,,,,,2,,,,,,,,,,,,
AVBL,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
AVBR,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
AVDL,,,,,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
AVDR,,,,,5,7,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVFL,,,,2,,,,,,,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,
AVFR,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
AVG,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,1,,,9,,,,,,,1,2,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
AVHL,,,1,2,,,,,,,1,2,,,7,,4,,,,,,,3,,,,,,1,,,,,,1,,1,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,14,,,,,,,,,,,,
AVHR,,,,8,,,,,,,3,,1,7,,,2,,,,,3,,,,1,,,2,,,,,,,,2,2,2,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,5,,,,6,,,,,,,,,,,,
AVJL,,,,,3,,,,,3,,,,,,,3,,,,,,,,,,,,,2,1,,2,,,,,,,,,,,,,2,,1,2,,,1,,,,1,2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
AVJR,,,,,1,2,,,,,,,1,4,2,3,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
AVKL,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
AVKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
AVL,,,,,,,,,,,,,,,,,,,,,,,2,,,15,,8,10,,,4,,,,,,,,,,,,,,,,,,,1,4,,,,2,,1,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,
DA07,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA08,,,,1,3,2,,,,,,,,,3,,,,,,,,6,,,2,,3,,,,1,,,,,,,,,,,,,,,11,,,,,,1,,,,,,,,,,,,,2,,4,,,,,,,,,1,,,,,,,,,,,,
