pre,post,# sections,synapse id,series
AVAL,AS10,1,1657,PAG
AVAR,AS10,2,1702,PAG
AVAR,AVAL,1,1840,PAG
AVAR,AVAL,2,1745,PAG
AVBR,AVBL,1,2363,PAG
AVDL,AVAL,1,1665,PAG
AVDL,AVAL,1,1744,PAG
AVDL,AVAR,1,1668,PAG
AVDR,AVAL,1,707,PAG
AVDR,AVAL,1,1813,PAG
AVDR,AVAL,1,1843,PAG
AVDR,AVAL,1,2310,PAG
AVDR,AVAL,3,1808,PAG
AVDR,AVAR,1,1667,PAG
AVDR,AVAR,1,1681,PAG
AVDR,AVAR,1,1694,PAG
AVDR,AVAR,1,1751,PAG
AVDR,AVAR,1,1819,PAG
AVDR,AVAR,2,709,PAG
AVDR,AVAR,2,1685,PAG
AVDR,AVDL,1,1782,PAG
AVDR,AVDL,1,1812,PAG
AVDR,AVDL,2,1830,PAG
AVFL,AS11,1,788,PAG
AVFL,AS11,1,824,PAG
AVFR,AVFL,1,1729,PAG
AVG,AS11,1,834,PAG
AVG,AVFL,1,1833,PAG
AVHL,AS10,1,1678,PAG
AVHL,AS11,1,833,PAG
AVHL,AS11,2,809,PAG
AVHL,AVFL,1,2335,PAG
AVHL,AVFR,1,1836,PAG
AVHL,AVFR,3,1841,PAG
AVHR,AS11,1,762,PAG
AVHR,AS11,1,771,PAG
AVHR,AS11,1,810,PAG
AVHR,AS11,1,832,PAG
AVHR,AS11,2,841,PAG
AVHR,AS11,3,785,PAG
AVHR,AS11,3,821,PAG
AVHR,AS11,5,796,PAG
AVHR,AVFL,1,772,PAG
AVHR,AVFL,1,1029,PAG
AVHR,AVFL,1,1056,PAG
AVHR,AVG,1,1776,PAG
AVHR,AVHL,1,692,PAG
AVHR,AVHL,1,1773,PAG
AVHR,AVHL,1,1777,PAG
AVHR,AVHL,1,2461,Red
AVHR,AVHL,2,682,PAG
AVHR,AVHL,2,1174,PAG
AVHR,AVHL,2,1770,PAG
AVJL,AVAL,2,783,PAG
AVJL,AVAL,2,1010,PAG
AVJL,AVAL,3,729,PAG
AVJL,AVDR,1,1669,PAG
AVJL,AVDR,1,1783,PAG
AVJL,AVDR,3,1842,PAG
AVJR,AVAL,2,1245,PAG
AVJR,AVAR,1,1193,PAG
AVJR,AVAR,2,1166,PAG
AVJR,AVG,1,1719,PAG
AVJR,AVHL,1,786,PAG
AVJR,AVHL,1,811,PAG
AVJR,AVHL,1,1237,PAG
AVJR,AVHL,3,797,PAG
AVJR,AVHR,1,1771,PAG
AVJR,AVHR,1,1779,PAG
AVJR,AVJL,1,877,PAG
AVJR,AVJL,2,973,PAG
AVJR,AVJL,2,1019,PAG
AVKL,AS10,1,1698,PAG
AVKL,AS11,1,1098,PAG
DA07,AVAL,1,2364,PAG
DA07,AVAL,6,1648,PAG
DA08,AS11,1,913,PAG
DA08,AVAL,1,1820,PAG
DA08,AVAL,2,915,PAG
DA08,AVAL,4,1824,PAG
DA08,AVAR,1,726,PAG
DA08,AVAR,4,869,PAG
DA08,AVHR,1,1154,PAG
DA08,AVHR,2,1159,PAG
DA08,AVHR,2,1161,PAG
DA09,AVAR,3,713,PAG
DA09,AVL,2,1205,PAG
DA09,AVL,2,1227,PAG
DA09,DA08,1,664,PAG
DA09,DA08,1,671,PAG
DA09,DA08,1,2123,Dorsal
DA09,DA08,1,2317,PAG
DA09,DA08,3,2102,Dorsal
DA09,DA08,6,2101,Dorsal
DB07,AS10,1,1684,PAG
DB07,AVBL,1,1706,PAG
DB07,AVBL,1,1712,PAG
DB07,AVBL,2,1699,PAG
DB07,AVBL,9,1718,PAG
DB07,AVBR,1,1707,PAG
DB07,AVBR,2,1691,PAG
DB07,AVHL,1,1692,PAG
DB07,AVHL,1,1703,PAG
DB07,AVHL,1,1709,PAG
DD06,AVG,1,1130,PAG
DD06,AVHR,1,1105,PAG
DD06,AVL,1,867,PAG
DD06,AVL,1,873,PAG
DD06,AVL,1,1060,PAG
DD06,AVL,1,1089,PAG
DD06,AVL,1,1094,PAG
DD06,AVL,1,1114,PAG
DD06,AVL,1,1132,PAG
DD06,AVL,1,1713,PAG
DD06,AVL,1,2294,PAG
DD06,AVL,1,2296,PAG
DD06,AVL,1,2297,PAG
DD06,AVL,1,2308,PAG
DD06,AVL,2,657,PAG
DD06,AVL,2,891,PAG
DD06,AVL,2,2295,PAG
DD06,DA08,1,1118,PAG
DD06,DA08,1,1133,PAG
DVA,AS11,1,1032,PAG
DVA,AVKL,1,777,PAG
DVA,AVKL,1,2307,PAG
DVA,DA09,1,1189,PAG
DVA,DA09,1,1197,PAG
DVA,DA09,1,1250,PAG
DVA,DB07,1,1720,PAG
DVB,AS11,4,838,PAG
DVB,AVL,1,702,PAG
DVB,AVL,1,708,PAG
DVB,AVL,1,1109,PAG
DVB,AVL,1,1162,PAG
DVB,AVL,1,1167,PAG
DVB,AVL,1,1849,PAG
DVB,AVL,1,2609,PAG
DVB,AVL,5,1112,PAG
DVB,DA08,1,1164,PAG
DVB,DA08,2,1176,PAG
DVB,DA08,2,1195,PAG
DVB,DD06,1,721,PAG
DVB,DD06,1,1108,PAG
DVB,DVB,2,1163,PAG
DVC,AVG,1,818,PAG
DVC,AVG,1,844,PAG
DVC,AVG,1,855,PAG
DVC,AVG,1,1142,PAG
DVC,AVG,1,1183,PAG
DVC,AVG,1,2444,Red
DVC,AVG,1,2445,Red
DVC,AVG,2,1017,PAG
DVC,AVG,2,1018,PAG
DVC,AVHR,1,689,PAG
DVC,AVHR,2,742,PAG
DVC,AVL,1,917,PAG
DVC,AVL,1,962,PAG
DVC,AVL,1,981,PAG
DVC,AVL,1,995,PAG
DVC,AVL,1,1817,PAG
DVC,AVL,1,1844,PAG
DVC,AVL,1,2329,PAG
DVC,AVL,2,864,PAG
DVC,AVL,3,976,PAG
DVC,AVL,5,936,PAG
DVC,DD06,1,880,PAG
DVC,DVA,1,1241,PAG
DVC,DVB,1,670,PAG
DVC,DVB,1,1146,PAG
DVC,DVB,1,1251,PAG
DVC,DVB,1,2289,PAG
DVC,DVB,2,1140,PAG
DVC,DVB,2,2459,Red
DVC,DVB,2,2460,Red
LUAL,AVAL,1,1051,PAG
LUAL,AVAL,1,1171,PAG
LUAL,AVHL,1,1218,PAG
LUAL,AVJL,1,996,PAG
LUAL,AVJL,4,1000,PAG
LUAR,AVAL,1,820,PAG
LUAR,AVAL,1,858,PAG
LUAR,AVAR,1,836,PAG
LUAR,AVAR,1,1188,PAG
LUAR,AVAR,2,813,PAG
LUAR,AVJL,1,1222,PAG
LUAR,AVJR,1,1198,PAG
PDA,AVL,1,1247,PAG
PDA,AVL,1,2438,Red
PDA,AVL,1,2439,Red
PDA,AVL,2,1246,PAG
PDA,DA08,1,2116,Dorsal
PDA,DA09,1,1243,PAG
PDA,DA09,1,2103,Dorsal
PDA,DA09,2,1202,PAG
PDA,DA09,2,1232,PAG
PDA,DD06,1,2117,Dorsal
PDA,DVA,1,2412,Red
PDB,AS11,1,2043,Brown
PDB,AS11,1,2055,Brown
PDB,AVJL,1,1172,PAG
PDB,AVJL,1,1211,PAG
PDB,DB07,2,1208,PAG
PDB,PDA,1,1203,PAG
PDB,PDA,1,1226,PAG
PDB,PDA,1,2437,Red
PDB,PDA,1,2440,Red
PDEL,DVA,2,719,PAG
PDER,DVA,1,1658,PAG
PDER,DVA,1,2300,PAG
PHAL,AVG,2,2066,PAG
PHAL,AVHL,1,1027,PAG
PHAR.,AVG,1,975,PAG
PHAR.,AVG,1,1217,PAG
PHAR.,AVHR,1,994,PAG
PHAR.,AVHR,1,1022,PAG
PHAR.,PDA,1,2414,Red
PHAR.,PHAL,1,1058,PAG
PHAR.,PHAL,2,1054,PAG
PHAR.,PHAL,2,1103,PAG
PHAR.,PHAL,2,1106,PAG
PHBL,AVAR,1,938,PAG
PHBL,AVHL,1,923,PAG
PHBL,AVHR,1,1216,PAG
PHBL,AVHR,1,1223,PAG
PHBL,AVJR,1,823,PAG
PHBR,AVHL,10,990,PAG
PHBR,AVHR,1,1020,PAG
PHBR,AVHR,1,1040,PAG
PHBR,PHBL,1,1078,PAG
PHBR,PHBL,1,1169,PAG
PHBR,PHBL,3,1085,PAG
PHBR,PHBL,6,1004,PAG
PHBR,PHBL,6,1037,PAG
PHCL,AVAL,1,1234,PAG
PHCL,PHAL,1,2020,Brown
PHCR,AVAL,1,1225,PAG
PHCR,AVAL,1,1239,PAG
PHCR,AVAL,1,1244,PAG
PHCR,AVAR,1,1192,PAG
PHCR,AVG,1,1252,PAG
PHCR,AVJR,1,1207,PAG
PHCR,DA09,2,1224,PAG
PHCR,DA09,4,1220,PAG
PHCR,PHAR.,1,2452,Red
PHCR,PHBR,1,1990,Brown
PHCR,PHCL,2,2446,Red
PLML,LUAL,3,2449,Red
PLML,LUAL,3,2450,Red
PLMR,LUAR,9,2455,Red
PLNL,PHAL,1,1976,Brown
PLNL,PHBL,1,1979,Brown
PLNL,PHCL,1,1973,Brown
PLNL,PHCL,1,2039,Brown
PLNR,PHAR.,1,2108,Brown
PLNR,PHAR.,1,2649,Red
PLNR,PLMR,1,2047,Brown
PQR,AVDR,1,1679,PAG
PQR,AVJL,1,1012,PAG
PQR,AVJL,3,1014,PAG
PQR,AVJR,2,889,PAG
PVCL,AVAL,1,1050,PAG
PVCL,AVAL,2,2360,PAG
PVCL,AVAR,1,1723,PAG
PVCL,AVAR,1,1725,PAG
PVCL,AVAR,1,1727,PAG
PVCL,AVAR,1,1734,PAG
PVCL,AVAR,1,1784,PAG
PVCL,AVAR,2,892,PAG
PVCL,AVAR,2,897,PAG
PVCL,AVFL,1,1229,PAG
PVCL,DA07,1,1766,PAG
PVCL,DA08,1,736,PAG
PVCL,DA08,1,740,PAG
PVCL,DA08,1,745,PAG
PVCL,DA08,1,1021,PAG
PVCL,DA08,1,1672,PAG
PVCL,DA08,1,1687,PAG
PVCL,DA08,1,1690,PAG
PVCL,DA08,1,2315,PAG
PVCL,DA08,1,2316,PAG
PVCL,DA08,1,2358,PAG
PVCL,DA08,2,2359,PAG
PVCL,DB07,1,663,PAG
PVCL,DB07,1,741,PAG
PVCL,DB07,1,2323,PAG
PVCL,DB07,1,2324,PAG
PVCL,DB07,2,790,PAG
PVCL,DD06,1,2343,PAG
PVCL,LUAL,1,2409,Red
PVCL,PDEL,1,1798,PAG
PVCL,PDEL,1,1825,PAG
PVCL,PHBL,1,1199,PAG
PVCL,PHBL,1,2408,Red
PVCL,PLML,1,2448,Red
PVCL,PLML,3,2447,Red
PVCL,PQR,1,967,PAG
PVCR,AVAL,1,665,PAG
PVCR,AVAL,2,738,PAG
PVCR,AVAR,1,755,PAG
PVCR,AVAR,1,775,PAG
PVCR,AVAR,1,1788,PAG
PVCR,AVAR,1,1807,PAG
PVCR,AVAR,1,2319,PAG
PVCR,AVAR,1,2321,PAG
PVCR,AVAR,1,2361,PAG
PVCR,AVAR,1,2362,PAG
PVCR,AVAR,2,680,PAG
PVCR,AVAR,4,710,PAG
PVCR,AVDR,2,753,PAG
PVCR,AVJL,1,2355,PAG
PVCR,DA07,1,1731,PAG
PVCR,DA07,1,1792,PAG
PVCR,DA07,1,1848,PAG
PVCR,DA09,1,1088,PAG
PVCR,DA09,1,1230,PAG
PVCR,DA09,1,1231,PAG
PVCR,DA09,1,2424,Red
PVCR,DB07,1,920,PAG
PVCR,DVA,1,1134,PAG
PVCR,PDER,1,1726,PAG
PVCR,PDER,1,1730,PAG
PVCR,PHCR,2,1235,PAG
PVCR,PHCR,2,2457,Red
PVCR,PLMR,2,2453,Red
PVCR,PLMR,4,2454,Red
PVCR,PVCL,1,704,PAG
PVCR,PVCL,1,706,PAG
PVCR,PVCL,1,711,PAG
PVCR,PVCL,1,822,PAG
PVCR,PVCL,1,843,PAG
PVCR,PVCL,1,1673,PAG
PVCR,PVCL,1,1674,PAG
PVCR,PVCL,1,1704,PAG
PVCR,PVCL,1,1785,PAG
PVCR,PVCL,1,1800,PAG
PVCR,PVCL,1,1822,PAG
PVCR,PVCL,1,1828,PAG
PVCR,PVCL,1,2312,PAG
PVCR,PVCL,1,2314,PAG
PVCR,PVCL,1,2320,PAG
PVCR,PVCL,2,1695,PAG
PVCR,PVCL,3,1655,PAG
PVNL,AVAL,1,1238,PAG
PVNL,AVBR,1,1705,PAG
PVNL,AVBR,2,666,PAG
PVNL,AVBR,2,679,PAG
PVNL,AVDR,1,1025,PAG
PVNL,AVHL,1,1201,PAG
PVNL,AVJL,1,1671,PAG
PVNL,AVJL,2,846,PAG
PVNL,AVJR,1,2417,Red
PVNL,LUAL,1,1117,PAG
PVNL,LUAL,1,1125,PAG
PVNL,LUAL,1,1175,PAG
PVNL,LUAL,1,2410,Red
PVNL,PQR,1,1977,Brown
PVNL,PQR,1,1978,Brown
PVNL,PVCL,1,1215,PAG
PVNR,AVBL,1,1796,PAG
PVNR,AVBR,1,667,PAG
PVNR,AVBR,1,673,PAG
PVNR,AVDL,1,699,PAG
PVNR,AVDR,1,766,PAG
PVNR,AVJR,2,1236,PAG
PVNR,DVC,1,1749,PAG
PVNR,LUAR,1,2421,Red
PVNR,PQR,1,1809,PAG
PVNR,PQR,1,1814,PAG
PVNR,PVNL,1,1057,PAG
PVNR,PVNL,1,2337,PAG
PVNR,PVNL,1,2338,PAG
PVPL,AS11,1,789,PAG
PVPL,AS11,2,780,PAG
PVPL,AS11,3,806,PAG
PVPL,AVFL,1,746,PAG
PVPL,AVG,1,978,PAG
PVPL,AVG,2,985,PAG
PVPL,AVHR,4,765,PAG
PVPL,AVKR,1,1641,PAG
PVPL,AVKR,1,1662,PAG
PVPL,AVKR,1,1716,PAG
PVPL,AVKR,1,1756,PAG
PVPL,AVKR,1,1760,PAG
PVPL,AVKR,2,1693,PAG
PVPL,AVKR,2,1717,PAG
PVPL,AVL,1,1186,PAG
PVPL,DD06,2,831,PAG
PVPL,DVA,1,1148,PAG
PVPL,DVB,1,1165,PAG
