Source,Target,Weight,Type
ADAL,ADFL,2,electrical
ADAL,AIBL,8,chemical
ADAL,AVBL,10,chemical
ADAL,AVJL,3,chemical
ADAL,DVC,2,chemical
ADAL,RIAL,13,chemical
ADAL,RIBL,4,chemical
ADAL,RICR,2,chemical
ADAL,RIFL,1,chemical
ADAL,RIGL,19,chemical
ADAL,RIML,1,electrical
ADAL,RIML,11,chemical
ADAL,RIPL,4,chemical
ADAL,RMFL,3,chemical
ADAL,SAADL,1,chemical
ADAL,URYVL,2,chemical
ADEL,ADER,2,chemical
ADEL,AVAR,5,chemical
ADEL,AVKL,10,chemical
ADEL,DVA,2,chemical
ADEL,PVQL,1,chemical
ADEL,RIGL,14,chemical
ADEL,RIGR,5,chemical
ADEL,RIH,2,chemical
ADEL,RIVR,1,chemical
ADEL,RMGL,1,chemical
ADEL,SAADR,1,chemical
ADER,ADEL,4,chemical
ADER,AVAL,10,chemical
ADER,RIGL,5,chemical
ADER,RIGR,5,chemical
ADER,RIH,1,electrical
ADER,RIVL,2,chemical
ADER,RIVR,1,chemical
ADFL,ADAL,2,chemical
ADFL,ADAL,2,electrical
ADFL,AIAL,4,electrical
ADFL,AIZL,37,chemical
ADFL,AUAL,3,chemical
ADFL,AWAL,1,chemical
ADFL,OLQVL,2,chemical
ADFL,RIAL,47,chemical
ADFL,RIBL,1,chemical
ADFL,RIGL,9,chemical
ADFL,SMBVL,8,chemical
ADFR,AFDR,2,chemical
ADFR,AFDR,3,electrical
ADFR,AIZR,24,chemical
ADFR,ASGR,2,chemical
ADFR,AUAR,10,chemical
ADFR,AWAR,1,chemical
ADFR,AWBR,8,chemical
ADFR,RIAR,33,chemical
ADFR,RIH,3,electrical
ADFR,RIPR,1,chemical
ADFR,RIPR,1,electrical
ADFR,SMBDR,3,chemical
ADFR,SMBVR,1,chemical
ADLL,ADLR,14,electrical
ADLL,AIBL,16,chemical
ADLL,ASGL,9,chemical
ADLL,ASHL,4,chemical
ADLL,ASKL,1,chemical
ADLL,AVFL,1,chemical
ADLL,AVHL,1,chemical
ADLL,AVJL,10,chemical
ADLL,CEPDL,1,chemical
ADLL,PVQL,1,chemical
ADLL,SMBVL,1,chemical
ADLR,ADLL,14,electrical
ADLR,AIAR,24,chemical
ADLR,AIBR,53,chemical
ADLR,ASER,4,chemical
ADLR,ASGR,1,chemical
ADLR,ASHR,11,chemical
ADLR,AVDL,40,chemical
ADLR,AVFR,2,chemical
ADLR,RMGR,2,electrical
ADLR,SMBVR,9,chemical
AFDL,AFDR,5,electrical
AFDL,AIYL,59,chemical
AFDR,ADFR,3,electrical
AFDR,AFDL,5,electrical
AFDR,AIYR,30,chemical
AFDR,AUAR,2,chemical
AFDR,AWAR,2,chemical
AFDR,IL2R,1,electrical
AIAL,ADFL,4,electrical
AIAL,AIAL,26,chemical
AIAL,AIBL,45,chemical
AIAL,AIYL,6,chemical
AIAL,AWAL,12,electrical
AIAL,AWCL,25,chemical
AIAL,RIFL,27,chemical
AIAR,ADLR,12,chemical
AIAR,AIBR,6,chemical
AIAR,AIMR,1,chemical
AIAR,ASGR,5,chemical
AIAR,ASHR,1,chemical
AIAR,ASIR,2,electrical
AIAR,ASKR,2,chemical
AIAR,AWAR,5,electrical
AIBL,AIBL,2,chemical
AIBL,AIZR,8,chemical
AIBL,AVBL,24,chemical
AIBL,AVEL,5,chemical
AIBL,AVKR,5,chemical
AIBL,RIBR,4,chemical
AIBL,RIGR,2,electrical
AIBL,RIML,1,chemical
AIBL,RIMR,42,chemical
AIBL,RMFR,5,chemical
AIBL,SAADL,6,chemical
AIBL,SAADR,14,chemical
AIBL,SAAVL,3,chemical
AIBL,SIBVR,6,chemical
AIBL,SMDDR,9,chemical
AIBR,AIAR,4,chemical
AIBR,AIMR,4,chemical
AIBR,AIZL,1,electrical
AIBR,ASGR,4,chemical
AIBR,AVBR,19,chemical
AIBR,AVER,4,chemical
AIBR,AVKR,4,chemical
AIBR,DVA,1,chemical
AIBR,FLPR,5,chemical
AIBR,RIGL,2,electrical
AIBR,RIML,1,electrical
AIBR,RIML,36,chemical
AIBR,RIMR,2,chemical
AIBR,RIVR,2,electrical
AIBR,RIVR,6,chemical
AIBR,RMEV,5,electrical
AIBR,RMFL,2,chemical
AIBR,SAADL,5,chemical
AIBR,SAADR,2,chemical
AIBR,SAAVR,1,chemical
AIBR,SMDDL,11,chemical
AIML,AIAL,2,chemical
AIML,AIBL,30,chemical
AIML,ASGL,3,chemical
AIML,ASGL,6,electrical
AIML,ASKL,4,electrical
AIML,ASKL,5,chemical
AIML,CEPVL,1,chemical
AIML,RICL,3,chemical
AIML,RID,3,chemical
AIMR,AIAR,41,chemical
AIMR,AIBR,36,chemical
AIMR,ASGR,4,chemical
AIMR,ASIR,1,electrical
AIMR,ASJR,1,chemical
AIMR,ASJR,2,electrical
AIMR,ASKR,1,electrical
AIMR,ASKR,8,chemical
AIMR,URXR,1,chemical
AINL,SAAVL,3,chemical
AIYL,AFDL,3,chemical
AIYL,AIZL,157,chemical
AIYL,AIZR,2,chemical
AIYL,AUAL,4,chemical
AIYL,AWBL,4,chemical
AIYL,CEMVL,2,chemical
AIYL,CEPVL,4,electrical
AIYL,RIAL,171,chemical
AIYL,RIAR,2,chemical
AIYL,RIBL,142,chemical
AIYL,RIR,1,chemical
AIYR,ADFR,2,chemical
AIYR,AFDR,10,chemical
AIYR,AIAR,10,chemical
AIYR,AIZR,152,chemical
AIYR,AWAR,3,chemical
AIYR,AWBR,4,chemical
AIYR,RIAR,121,chemical
AIYR,RIBR,117,chemical
AIYR,SIAVR,1,electrical
AIYR,SIBDR,15,chemical
AIYR,SMBDR,42,chemical
AIZL,ADFL,4,chemical
AIZL,AIAL,10,chemical
AIZL,AIBR,1,electrical
AIZL,AIBR,27,chemical
AIZL,AIZR,13,electrical
AIZL,AVER,15,chemical
AIZL,AVKR,1,chemical
AIZL,AWAL,1,electrical
AIZL,AWAL,10,chemical
AIZL,DVA,1,chemical
AIZL,RIAL,44,chemical
AIZL,RIAR,5,chemical
AIZL,RIH,1,chemical
AIZL,RIML,12,electrical
AIZL,RIML,14,chemical
AIZL,SMBDL,36,chemical
AIZL,SMBVL,30,chemical
AIZL,SMBVR,2,chemical
AIZR,ADFR,6,chemical
AIZR,ADLR,8,chemical
AIZR,AIAR,8,chemical
AIZR,AIBL,72,chemical
AIZR,AIZL,13,electrical
AIZR,AIZR,8,chemical
AIZR,AVEL,51,chemical
AIZR,AVKR,2,chemical
AIZR,RIAR,42,chemical
AIZR,RIMR,24,chemical
AIZR,SMBDL,3,chemical
AIZR,SMBDR,25,chemical
AIZR,SMBVL,2,chemical
AIZR,SMBVR,25,chemical
ALA,AVEL,3,chemical
ALA,AVER,1,chemical
ALA,RID,4,electrical
ALA,URXL,1,electrical
ALML,AVBR,1,chemical
ALML,AVM,29,electrical
ALML,BDUL,14,chemical
ALML,CEPDL,17,chemical
ALML,CEPVL,13,chemical
ALML,PVCL,23,chemical
ALML,PVR,4,electrical
ALMR,AVBL,8,chemical
ALMR,AVDL,9,chemical
ALMR,AVM,31,electrical
ALMR,BDUR,14,chemical
ALMR,CEPDR,19,chemical
ALMR,CEPVR,4,chemical
ALMR,PVCR,8,chemical
ALMR,PVR,1,electrical
ALNL,AVAR,2,chemical
ALNL,RIMR,4,chemical
ALNL,RMGL,6,chemical
ALNL,SAAVL,12,chemical
ALNL,SAAVR,24,chemical
ALNL,SIADR,3,chemical
ALNL,SMBDR,4,chemical
ALNL,SMDDR,6,chemical
ALNR,RMGR,2,chemical
ALNR,SAAVR,8,chemical
